 url,relevance,start_year,end_year,policy_name,local_government,state,code,excluded,number,declared
https://www.armidaleregional.nsw.gov.au/ArticleDocuments/1136/AI%202021%2002335%20%20CEWG%20Report%20-%2026oct2020-V5-1.pdf.aspx,1,2020,,A Framework for Climate Action,Armidale Regional Council,NSW,Armidale,,1,23/10/19
https://www.bellingen.nsw.gov.au/files/assets/public/files/climate-action-plan-draft.pdf,1,2022,,"Community Climate Action Plan – Draft 
April 2022
",Bellingen Shire Council,NSW,Bellingen,,2,27/03/19
https://www.bellingen.nsw.gov.au/files/assets/public/files/environment/adopted-corporate-carbon-plan-final.pdf,1,2020,2030,"Bellingen Shire Climate Emergency Program
 2020 – 2030",Bellingen Shire Council,NSW,Bellingen ,,3,27/03/19
https://www.blacktown.nsw.gov.au/files/assets/public/about-us/blacktown-city-council-responding-to-climate-change-strategy-2.pdf,1,2018,,Responding to climate change strategy,Blacktown City Council,NSW,Blacktown ,,4,26/02/20
https://www.blacktown.nsw.gov.au/files/assets/public/about-us/blacktown-city-council-responding-to-climate-change-policy.pdf,1,2020,,Responding to climate change,Blacktown City Council,NSW,Blacktown ,,5,26/02/20
https://www.brokenhill.nsw.gov.au/files/assets/public/documents/strategies-and-other-documents/renewable-energy-action-plan.pdf,1,2021,,Renewable Energy Action Plan,Broken Hill City Council,NSW,Broken ,,6,25/09/19
https://www.cabonne.nsw.gov.au/files/sharedassets/public/environment/new-folder/cabonne-council-renewable-energy-action-plan-march-2020.pdf,1,2019,,Renewable Energy Action Plan,Cabonne Council,NSW,Cabonne ,,7,
https://cdn.centralcoast.nsw.gov.au/sites/default/files/Council/Meetings_and_minutes/attachment1climatechangepolicydraft-v15.pdf,1,2018,,CLIMATE CHANGE POLICY,Central Coast Council,NSW,Central ,,8,26/08/19
https://www.cessnock.nsw.gov.au/files/assets/public/hptrim/website-public-exhibition-documents-do-not-change/draft-climate-change-policy-website/57-2019-3-_-draft-climate-change-policy-_-public-exhibition-draft-_-26-02-2020-05-03-2020-website-doc.pdf,1,2020,,"Cessnock City Council
Climate Change Policy",Cessnock City Council,NSW,Cessnock ,,9,
https://www.cessnock.nsw.gov.au/files/assets/public/hptrim/website-community-information-do-not-change/carbon-management-and-energy-reduction-_-strategy-_-adopted-_-ccc-website-doc.pdf,1,2015,,"Carbon Management and
Energy Reduction Plan",Cessnock City Council,NSW,Cessnock ,,10,
https://www.clarence.nsw.gov.au/files/assets/public/council/files/strategies-adopted/100-renewables-report.pdf,1,2018,,"Greenhouse Gas Emissions reduction and Renewable 
Energy targets",Clarence Valley Council,NSW,Clarence ,,11,23/04/19
https://www.clarence.nsw.gov.au/files/assets/public/council/files/strategies-adopted/clarence-valley-community-energy-and-emissions-reduction-strategy-july-2021-002_1.pdf,1,2021,,COMMUNITY ENERGY AND EMISSIONS REDUCTION STRATEGY,Clarence Valley Council,NSW,Clarence ,,12,23/04/19
https://www.ccc.tas.gov.au/wp-content/uploads/2018/10/Climate-change-impacts-on-Clarence-coastal-areas-Final-Report-April-2009.pdf,1,2008,,Climate Change Impacts On Clarence Coastal Areas,Clarence Valley Council,NSW,Clarence ,,13,23/04/19
https://www.cityofparramatta.nsw.gov.au/sites/council/files/2017-01/Climate%20Action%20Plan%20-%20Principles.pdf,1,2006,2011,Climate Action Plan Principles and Policy Directives,Council of the City of Parramatta,NSW,Parramatta,,14,
https://www.cityofparramatta.nsw.gov.au/sites/council/files/2019-04/Environmental%20Sustainability%20Strategy%202017v2.pdf,1,2017,,Environmental Sustainability Strategy 2017 A GREAT CITY GROWS BETTER EVERY DAY,Council of the City of Parramatta ,NSW,Parramatta,,15,
https://www.cityofsydney.nsw.gov.au/-/media/corporate/files/2020-07-migrated/files_2/2016-022571-adapting-to-climate-change-accessible.pdf?download=true,1,2015,2070,Adapting for Climate Change A long term strategy for the City of Sydney,Council of the City of Sydney,NSW,Sydney,,16,24/06/19
https://www.cityofsydney.nsw.gov.au/-/media/corporate/files/publications/strategies-action-plans/environmental-strategy-2021-2025.pdf?download=true,1,2021,2025,Environmental Strategy 2021-2025 (Draft),Council of the City of Sydney,NSW,Sydney,,17,24/06/19
https://www.dubbo.nsw.gov.au/ArticleDocuments/290/6%20-%20Environmental%20sustainability.pdf.aspx?Embed=Y,1,,,Community Strategic Plan - 6. Environmental Sustainability,Dubbo Regional Council,NSW,Dubbo ,,18,
https://www.dubbo.nsw.gov.au/ArticleDocuments/10525/ADOPTED%20DRC%20ENERGY%20STRATEGY%20and%20IMPLEMENTATION%20PLAN%202020%20to%202025%20-%20ADOPTED%20240220.pdf.aspx?Embed=Y,1,2020,2025,Energy Strategy & Implementation Plan,Dubbo Regional Council,NSW,Dubbo ,,19,
https://www.esc.nsw.gov.au/__data/assets/pdf_file/0005/212972/Eurobodalla-Climate-Action-Plan-In-brief.pdf,1,2022,2032,Eurobodalla Climate Action Plan 2022-2032,Eurobodalla Shire Council,NSW,Eurobodalla ,,20,
https://www.esc.nsw.gov.au/__data/assets/pdf_file/0015/213315/Eurobodalla-Climate-Action-Plan-2022-32.pdf,1,2022,2032,DRAFT Eurobodalla Climate Action Plan,Eurobodalla Shire Council,NSW,Eurobodalla ,not found,21,
https://www.esc.nsw.gov.au/__data/assets/pdf_file/0003/149367/Emissions-Reduction-Plan-2017-2021.pdf,1,2017,2021,Emissions Reduction Plan 2017-2021,Eurobodalla Shire Council,NSW,Eurobodalla ,,22,
https://www.gisc.nsw.gov.au/sites/gleninnes/files/public/images/documents/gisc/policies%20-%20public%20documents/Policies_2020_2021/Renewable%20Energy%20Action%20Plan.pdf,1,2020,,Renewable Energy Action Plan,Glen Innes Severn Council,NSW,GlenInnes,,23,26/09/19
https://www.midcoast.nsw.gov.au/files/assets/public/document-resources/plan-amp-build/future-planning/gloucester-region/gsc-gloucester_climate-change-risk-assessment-adaptation-plan-final.pdf,1,2010,,Climate Change Risk Assessment and Adaptation Plan,Gloucester Shire Council,NSW,Gloucester,,24,
